ax,ay,az,qx,qy,qz,qw,ts
-0.326133,1.179662,-0.543671,-0.215091,0.694341,-0.605805,0.323459,483503395.378315
-0.241503,0.796714,-0.780156,-0.212424,0.677443,-0.628974,0.316763,483503395.378734
-0.166279,0.273492,-0.322988,-0.224778,0.654573,-0.647475,0.319037,483503395.393993
0.054962,-0.011417,0.383920,-0.239253,0.632352,-0.662641,0.322175,483503395.409933
-0.067834,0.401755,0.716472,-0.243428,0.617060,-0.676667,0.319534,483503395.410342
-0.584907,1.391043,-0.312191,-0.248557,0.606936,-0.685766,0.315552,483503395.425848
-0.729007,1.731316,-0.699274,-0.260708,0.602220,-0.687128,0.311797,483503395.441036
0.095061,-0.098486,0.360779,-0.267702,0.607022,-0.683752,0.303880,483503395.441465
0.138893,-0.276167,0.133693,-0.268679,0.617901,-0.677922,0.293994,483503395.457217
0.157352,-0.289527,-0.046538,-0.266869,0.630948,-0.670771,0.284169,483503395.472731
0.144576,-0.283956,-0.162627,-0.264708,0.643842,-0.662848,0.275735,483503395.473082
0.156011,-0.221783,-0.204350,-0.263679,0.654645,-0.654697,0.270712,483503395.488460
0.153530,-0.140001,-0.301001,-0.263242,0.661210,-0.648436,0.270251,483503395.503954
0.130431,-0.121230,-0.321123,-0.262179,0.662012,-0.646454,0.274043,483503395.504333
0.092598,-0.232946,-0.176763,-0.259666,0.658974,-0.647669,0.280804,483503395.520218
0.069163,-0.279898,-0.054651,-0.255703,0.654332,-0.649970,0.289833,483503395.535885
0.049155,-0.250309,0.053712,-0.250391,0.649192,-0.652234,0.300742,483503395.536285
0.024152,-0.132905,0.103619,-0.246262,0.643805,-0.653024,0.313736,483503395.551401
0.001320,0.241805,-0.328008,-0.254535,0.636266,-0.649117,0.330189,483503395.567248
0.051211,0.005226,0.067324,-0.269976,0.627208,-0.643466,0.345941,483503395.568294
0.043360,0.016964,0.318231,-0.278391,0.619853,-0.641181,0.356607,483503395.582793
0.049597,0.115012,0.406715,-0.278958,0.615608,-0.641694,0.362543,483503395.599319
0.007533,0.238696,0.318728,-0.277989,0.614151,-0.641527,0.366039,483503395.599776
0.013322,0.229759,0.256096,-0.278818,0.614866,-0.639653,0.367484,483503395.614042
0.042643,0.184973,0.185950,-0.278524,0.617432,-0.637884,0.366478,483503395.630277
0.032940,0.186077,0.061036,-0.276957,0.620965,-0.636596,0.363928,483503395.630682
0.009130,0.167583,-0.031824,-0.275441,0.624576,-0.635533,0.360743,483503395.646030
-0.019437,0.098591,-0.064570,-0.274270,0.627843,-0.634749,0.357328,483503395.661687
-0.040761,0.043361,-0.098606,-0.273741,0.630521,-0.634258,0.353873,483503395.662120
-0.062403,-0.001671,-0.123751,-0.273979,0.632374,-0.634210,0.350451,483503395.677283
-0.044667,-0.107239,-0.125145,-0.274529,0.633295,-0.634800,0.347276,483503395.692975
-0.041683,-0.176237,-0.097364,-0.275551,0.633209,-0.635825,0.344738,483503395.693405
-0.072744,-0.227043,-0.057562,-0.277135,0.632267,-0.637095,0.342847,483503395.709340
-0.057006,-0.237081,-0.046404,-0.277953,0.630813,-0.639197,0.340946,483503395.724257
-0.038546,-0.175552,0.019181,-0.278117,0.629347,-0.641510,0.339174,483503395.724716
-0.055595,-0.042868,0.134737,-0.277694,0.629267,-0.642850,0.337126,483503395.740387
-0.078747,0.048496,0.170090,-0.276375,0.631668,-0.642341,0.334681,483503395.755727
-0.082651,0.096309,0.053097,-0.274519,0.635511,-0.639993,0.333427,483503395.756322
-0.071330,0.200343,-0.144003,-0.273315,0.638168,-0.636829,0.335395,483503395.771761
-0.062025,0.308395,-0.195855,-0.273629,0.638841,-0.633541,0.340052,483503395.787872
-0.034558,0.314256,-0.104262,-0.275213,0.638993,-0.629868,0.345271,483503395.788284
0.082009,0.044345,-0.098380,-0.277724,0.639348,-0.625579,0.350364,483503395.803127
0.068536,-0.021936,-0.106466,-0.280745,0.639370,-0.620849,0.356278,483503395.818860
0.076627,-0.081131,-0.070782,-0.284189,0.638926,-0.615683,0.363243,483503395.819254
0.135256,-0.607435,0.045720,-0.286811,0.638446,-0.610280,0.371059,483503395.834611
0.227985,-1.425697,0.252547,-0.287179,0.639137,-0.604593,0.378814,483503395.850359
0.227651,-1.100667,0.046046,-0.285649,0.640324,-0.598667,0.387283,483503395.850771
0.057318,-0.108850,-0.005986,-0.284645,0.639436,-0.594458,0.395877,483503395.866114
0.185292,-0.165335,0.099367,-0.283152,0.638288,-0.590675,0.404373,483503395.882114
0.223348,-0.141723,0.192689,-0.278209,0.638692,-0.585931,0.413952,483503395.882471
0.121239,0.098023,0.208130,-0.271416,0.640317,-0.580646,0.423293,483503395.897574
0.055853,0.118572,0.160719,-0.265707,0.642025,-0.575075,0.431847,483503395.913426
-0.122549,0.214971,0.006694,-0.261096,0.642023,-0.571951,0.438757,483503395.913820
-0.227581,0.321294,0.013209,-0.256629,0.640423,-0.572554,0.442924,483503395.929255
-0.468343,0.308703,-0.117533,-0.254600,0.637062,-0.576394,0.443960,483503395.944841
-0.285058,0.692335,-0.247896,-0.258627,0.630687,-0.582799,0.442371,483503395.945333
0.022093,1.438282,-0.082321,-0.265731,0.624277,-0.588131,0.440189,483503395.960783
0.064806,1.361768,-0.061062,-0.272299,0.619859,-0.590988,0.438590,483503395.976254
-0.087816,0.259851,0.067796,-0.277706,0.616412,-0.593682,0.436415,483503395.976760
-0.179519,0.079507,0.058759,-0.284515,0.613456,-0.597758,0.430591,483503395.992131
-0.122753,0.498840,0.011099,-0.290980,0.610981,-0.603552,0.421613,483503396.007865
-0.178635,0.441710,-0.006957,-0.293830,0.609867,-0.608744,0.413710,483503396.008284
-0.456048,-0.001687,0.025225,-0.296919,0.608400,-0.612478,0.408116,483503396.023474
-0.413750,-0.298364,0.173432,-0.300933,0.606809,-0.615387,0.403138,483503396.039155
-0.158073,-0.224084,0.286615,-0.303050,0.607229,-0.617500,0.397652,483503396.039515
-0.183671,-0.169743,0.091200,-0.302551,0.609977,-0.617825,0.393297,483503396.055126
-0.299004,-0.148958,0.016237,-0.300604,0.613025,-0.617316,0.390842,483503396.070561
-0.156118,-0.066176,-0.064021,-0.299927,0.614039,-0.617733,0.389108,483503396.070949
-0.016985,-0.110179,-0.044398,-0.301193,0.613394,-0.618068,0.388616,483503396.086381
