ax,ay,az,qx,qy,qz,qw,ts
-0.306115,1.042239,0.599840,0.021818,0.511216,0.161012,0.843954,484068019.363438
-0.248038,1.097044,0.552915,0.015144,0.546618,0.124815,0.827890,484068019.363834
-0.152663,1.156237,0.454856,0.008813,0.580222,0.085570,0.809903,484068019.379167
0.040807,1.313022,0.336845,0.002809,0.611315,0.043922,0.790162,484068019.394704
0.123310,1.374660,0.070438,-0.003755,0.638824,0.000266,0.769344,484068019.395060
0.311731,1.361845,-0.113160,-0.011638,0.660891,-0.045016,0.749040,484068019.410347
0.631108,1.173703,-0.179019,-0.020738,0.677607,-0.090832,0.729499,484068019.426400
0.980536,0.905956,-0.296490,-0.029166,0.689894,-0.136139,0.710395,484068019.426810
1.244288,0.678225,-0.302928,-0.035062,0.699047,-0.180121,0.691130,484068019.442116
1.419745,0.523995,-0.326553,-0.038037,0.705272,-0.221979,0.672213,484068019.457869
1.530413,0.410151,-0.318356,-0.038828,0.708202,-0.261310,0.654721,484068019.458399
1.609562,0.277683,-0.289548,-0.038411,0.707627,-0.297552,0.639728,484068019.473428
1.663471,0.101143,-0.188303,-0.037797,0.703653,-0.329833,0.628215,484068019.489577
1.740922,-0.117535,0.011714,-0.037231,0.697277,-0.357084,0.620410,484068019.489970
1.780070,-0.356479,0.207864,-0.036600,0.689837,-0.378426,0.616100,484068019.504947
1.648254,-0.607847,0.400457,-0.036221,0.681972,-0.393548,0.615405,484068019.520577
1.511531,-0.630123,0.376348,-0.036817,0.673825,-0.402902,0.618283,484068019.520991
1.385502,-0.625796,0.324238,-0.038454,0.665491,-0.407466,0.624191,484068019.536990
1.261262,-0.641653,0.307886,-0.041062,0.656938,-0.408471,0.632375,484068019.552216
1.164729,-0.693322,0.361499,-0.044135,0.648105,-0.406837,0.642259,484068019.552723
1.072571,-0.761126,0.508318,-0.046689,0.639768,-0.403107,0.652703,484068019.568004
0.943915,-0.789882,0.624156,-0.048044,0.633034,-0.397498,0.662537,484068019.583773
0.799599,-0.775255,0.698958,-0.048086,0.628378,-0.390219,0.671236,484068019.584133
0.611922,-0.727358,0.776172,-0.047565,0.625983,-0.381354,0.678566,484068019.599384
0.467185,-0.661725,0.822666,-0.047082,0.625514,-0.370948,0.684773,484068019.614826
0.309005,-0.562503,0.846637,-0.047112,0.626773,-0.359379,0.689770,484068019.615218
0.157400,-0.427122,0.824821,-0.047718,0.629634,-0.347059,0.693422,484068019.631638
0.112473,-0.418583,0.683893,-0.048868,0.634380,-0.334324,0.695270,484068019.646473
0.181956,-0.472521,0.564211,-0.049931,0.641108,-0.322366,0.694671,484068019.646814
0.094837,-0.432877,0.512651,-0.051526,0.648355,-0.310275,0.693333,484068019.662302
-0.077144,-0.232914,0.560470,-0.054718,0.655526,-0.297344,0.692010,484068019.678800
-0.267527,-0.126392,0.353656,-0.058502,0.664357,-0.284484,0.688677,484068019.679238
-0.265358,-0.151837,0.021117,-0.061298,0.674479,-0.273103,0.683180,484068019.693637
-0.230851,-0.166784,-0.276367,-0.061264,0.684648,-0.263587,0.676776,484068019.710059
-0.320853,-0.092109,-0.495285,-0.057901,0.693838,-0.256770,0.670302,484068019.710421
-0.363062,-0.038587,-0.512683,-0.052427,0.700951,-0.252545,0.664936,484068019.725776
-0.448247,0.088640,-0.135363,-0.047372,0.707026,-0.248551,0.660373,484068019.740960
-0.604878,0.266054,0.263480,-0.044521,0.713005,-0.243505,0.656009,484068019.741341
-0.706432,0.442404,0.180834,-0.043236,0.719232,-0.239054,0.650914,484068019.756691
-0.754582,0.487026,0.095040,-0.043082,0.725260,-0.236707,0.645067,484068019.772731
-0.690983,0.392163,0.067961,-0.044094,0.730648,-0.236161,0.639091,484068019.773327
-0.551846,0.368040,0.142944,-0.046822,0.735572,-0.236555,0.633074,484068019.787697
-0.514361,0.273434,0.194748,-0.052691,0.739546,-0.236737,0.627894,484068019.803955
-0.326111,0.519317,-0.250704,-0.059590,0.743141,-0.237929,0.622559,484068019.804548
-0.261804,0.488415,-0.671102,-0.064217,0.746359,-0.242780,0.616346,484068019.819644
-0.028064,0.316932,-0.422102,-0.067593,0.748850,-0.248197,0.610781,484068019.835234
0.100662,0.243029,-0.256455,-0.071791,0.750160,-0.252286,0.607007,484068019.835639
0.208895,0.192120,-0.230293,-0.078385,0.749650,-0.254474,0.605908,484068019.850904
0.249122,0.145428,-0.202713,-0.088260,0.746880,-0.254616,0.607906,484068019.866391
0.334823,0.124402,-0.356443,-0.101820,0.741401,-0.252853,0.613207,484068019.866670
